ID;character_name;build_name;artifact_set_1_label;artifact_set_1;artifact_set_2;artifact_set_3_label;artifact_set_3;artifact_set_4;artifact_set_5_label;artifact_set_5;artifact_set_6;artifact_set_7_label;artifact_set_7;artifact_set_8;artifact_set_9_label;artifact_set_9;artifact_set_10;sands_1;sands_2;sands_3;goblet_1;goblet_2;circlet_1;circlet_2;circlet_3;substats_1;substats_2;substats_3;substats_4;substats_5;flatstats_1;flatstats_2;er_min;er_max;note
1;Albedo;Geo Sub DPS;;Husk of Opulent Dreams;;;Golden Troupe;;;;;;;;;;;DEF%;;;Geo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;DEF%;Energy Recharge;ATK%;;Flat DEF;;120;150;
2;Alhaitham;Dendro Main DPS;;Gilded Dreams;;One Per Party;Deepwood Memories;;With Furina;Marechaussee Hunter;;;;;;;;Elemental Mastery;;;Dendro DMG Bonus;;CRIT Rate/DMG;;;Elemental Mastery;CRIT Rate/DMG;Energy Recharge;ATK%;;Flat ATK;;120;180;Gilded Dreams >> Deepwood. Only put Deepwoon on him if really no one else in the party can use it. If you play quicken, aim for 200-300 EM before you go into crit. MH is also valid in Nilou Teams without Kirara
3;Aloy;Melt Sub DPS;Recommended Set;Emblem of Severed Fate;;Alternative Set;Gilded Dreams;;Alternative Sets;Blizzard Strayer;Wanderer's Troupe;Use Your Leftovers;Lavawalker;;;;;ATK%;Elemental Mastery;Energy Recharge;Cryo DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;Elemental Mastery;;Flat ATK;;130;165;
4;Aloy;Freeze & Mono Cryo Main DPS;;Blizzard Strayer;;;;;;;;;;;;;;ATK%;;;Cryo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;;;Flat ATK;;130;165;
5;Aloy;Burst Support;;Noblesse Oblige;;;;;;;;;;;;;;Energy Recharge;;;Cryo DMG Bonus;;CRIT Rate (Favonius);CRIT DMG;;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;ATK%;;Flat ATK;;130;165;Do not prioritize her personal damage
6;Amber;Melt Main DPS;;Shimenawa's Reminiscence;;;Wanderer's Troupe;;;;;;;;;;;Elemental Mastery;ATK%;;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Elemental Mastery;ATK%;;;Flat ATK;;100;120;
7;Amber;C4 Bunny Bomber Melt DPS;;Crimson Witch of Flames;;;Gilded Dreams;;;;;;;;;;;Elemental Mastery;ATK%;;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Elemental Mastery;ATK%;;;Flat ATK;;100;120;
8;Amber;Burgeon Trigger;;Flower of Paradise Lost;;;Gilded Dreams;;;;;;;;;;;Elemental Mastery;;;Elemental Mastery;;Elemental Mastery;;;Elemental Mastery;;;;;;;100;100;
9;Amber;Support;For ATK Bufs;Noblesse Oblige;;For EM Buffs;Instructor;;;;;;;;;;;Energy Recharge;ATK%;;Pyro DMG Bonus;;CRIT Rate (Favonius);CRIT DMG;;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;ATK%;;Flat ATK;;165;240;Niche build. Best played with Elegy of the End, also C6
10;Anemo Traveler;Swirl Sub DPS;;Viridescent Venerer;;;;;;;;;;;;;;Elemental Mastery;;;Elemental Mastery;;Elemental Mastery;;;Energy Recharge;Elemental Mastery;ATK%;CRIT Rate/DMG;;Flat ATK;;160;180;
11;Anemo Traveler;Anemo Sub DPS;;Viridescent Venerer;;;;;;;;;;;;;;ATK%;;;Anemo DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;ATK%;CRIT Rate/DMG;Elemental Mastery;;Flat ATK;;160;180;
12;Arataki Itto;Geo Main DPS;;Husk of Opulent Dreams;;;;;;;;;;;;;;DEF%;;;Geo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;DEF%;Energy Recharge;ATK%;;Flat DEF;Flat ATK;115;145;
13;Arlecchino;Pyro Main DPS;Recommended Set;Fragment of Harmonic Whimsy;;Second Choice;Gladiator's Finale;;For Burning;Unfinished Reverie;;;;;;;;ATK%;EM (Vape/Melt);;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;EM (Vape/Melt);;;Flat ATK;;100;140;Add EM when playing Vaporize. Whimsy > Gladiator, but if you have great pieces, the latter can be valid. Reverie only works in burn teams but there can be as good as whimsy (and can be farmed together). Only build ER if you are playing her without a shielder and therefore require healing.
14;Baizhu;Healer/Support;Recommended Set;Deepwood Memories;;Non-Dendro Parties;Ocean-Hued Clam;;For EM Buffs;Instructor;;For ATK Buffs;Noblesse Oblige;;;;;HP%;Energy Recharge;;HP%;;HP%;Healing Bonus;;Energy Recharge;HP%;Flat HP;CRIT Rate (Favonius);;;;170;230;Many Dendro DPSs rely on having one party member wear Deepwood while not wanting to equip it themselves. Baizhu can be that party member. This is not for Baizhus own damage, cause it is neglible.
15;Barbara;Healer;Recommended Set;Ocean-Hued Clam;;For DMG Buffs;Scroll of the Hero of Cinder City;;Third Choice;Song of Days Past;;Fourth Choice;Maiden Beloved;;;;;HP%;;;HP%;;Healing Bonus;HP%;CRIT Rate (Favonius);HP%;Flat HP;Energy Recharge;CRIT Rate (Favonius);;;;100;100;
16;Barbara;Bloom DPS;Recommended Set;Flower of Paradise Lost;;Second Choice;Gilded Dreams;;;;;;;;;;;Elemental Mastery;;;Elemental Mastery;;Elemental Mastery;;;Elemental Mastery;HP%;Flat HP;;;;;100;100;Niche Build
17;Beidou;Burst Sub DPS;;Emblem of Severed Fate;;;Thundersoother;;;;;;;;;;;ATK%;Energy Recharge;;Electro DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;EM (Quicken);;Flat ATK;;150;220;
18;Beidou;Electro Main DPS;;Thundering Fury;Gladiator's Finale;;;;;;;;;;;;;ATK%;;;Electro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;;;Flat ATK;;;;
19;Bennett;Support/Healer;For ATK Buffs;Noblesse Oblige;;For EM Buffs;Instructor;;For DMG Buffs;Song of Days Past;;;;;;;;Energy Recharge;HP%;;HP%;;Healing Bonus;HP%;;Energy Recharge;HP%;Flat HP;;;;;200;250;
20;Bennett;Support/DPS;Recommended Set;Noblesse Oblige;;As On-Field DPS;Crimson Witch of Flames;;;;;;;;;;;ATK%;Elemental Mastery;;Pyro DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;Elemental Mastery;HP%;Flat ATK;Flat HP;200;250;
21;Candace;Support;For ATK Buffs;Noblesse Oblige;;For DMG Buffs;Scroll of the Hero of Cinder City;;;;;;;;;;;Energy Recharge;HP%;;HP%;;HP%;CRIT Rate (Favonius);;Energy Recharge;HP%;CRIT Rate (Favonius);CRIT DMG;;Flat HP;;250;300;NO is a generalist support for atk scaling, scroll buffs elemental damage based on reactions
22;Candace;Hydro Sub DPS;;Emblem of Severed Fate;;;;;;;;;;;;;;Energy Recharge;HP%;;Hydro DMG Bonus;HP%;CRIT Rate (Favonius);CRIT DMG;HP%;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;HP%;;Flat HP;;250;300;
23;Candace;Hydro Main DPS;Recommended Set;Nymph's Dream;;Second Choice;Heart of Depth;;Second Choice;Gladiator's Finale;;;;;;;;ATK%;Energy Recharge;;Hydro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;HP%;Energy Recharge;;Flat ATK;Flat HP;180;280;
24;Charlotte;Healer;;Emblem of Severed Fate;Gladiator's Finale;;Ocean-Hued Clam;;;;;;;;;;;Energy Recharge;ATK%;;ATK%;;Healing Bonus;CRIT Rate (Favonius);;Energy Recharge;CRIT Rate (Favonius);ATK%;Flat ATK;;;;180;230;
25;Charlotte;Healer/Buffer;;Noblesse Oblige;;;Tenacity of the Millelith;;;Song of Days Past;;;;;;;;Energy Recharge;ATK%;;ATK%;;Healing Bonus;CRIT Rate (Favonius);;Energy Recharge;CRIT Rate (Favonius);ATK%;Flat ATK;;;;180;230;
26;Charlotte;Cryo Sub DPS;;Golden Troupe;;;Blizzard Strayer;;;;;;;;;;;ATK%;Energy Recharge;;ATK%;Cryo DMG Bonus;CRIT DMG;;;CRIT DMG;ATK%;Energy Recharge;CRIT Rate;;Flat ATK;;150;200;
27;Chasca;Anemo Main DPS;Recommended Set;Obsidian Codex;;With Furina;Marechaussee Hunter;;;;;;;;;;;ATK%;Elemental Mastery;;ATK%;;CRIT DMG;;;CRIT DMG;ATK%;Elemental Mastery;CRIT Rate;;Flat ATK;;100;100;obsidian > MH. ATK sands > EM
28;Chevreuse;Overload Support;;Noblesse Oblige;;;Song of Days Past;;;;;;;;;;;HP%;Energy Recharge;;HP%;;HP%;Healing Bonus;;HP%;Flat HP;Energy Recharge;CRIT Rate (Favonius);;;;170;200;Song of Days past is a valid alternative when someone else on the team is already using noblesse and is best used by a C6 Chevreuse. Burst is irrelevant to her buff, so the player can choose to not include it in their rotation.
29;Chevreuse;Overload Sub DPS;;Emblem of Severed Fate;;;Golden Troupe;;;;;;;;;;;ATK%;Energy Recharge;;Pyro DMG Bonus;;CRIT Rate (Favonius);CRIT DMG;;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;ATK%;HP%;Flat ATK;Flat HP;170;200;Emblem is the best option for Chev's personal damage, however, Golden Troupe can also work for a C4+ when she uses all 3 skill charges
30;Chiori;Geo Sub DPS;;Golden Troupe;;;Husk of Opulent Dreams;;;;;;;;;;;DEF%;;;Geo DMG Bonus;DEF%;CRIT Rate/DMG;DEF%;;CRIT Rate/DMG;DEF%;ATK%;;;Flat DEF;Flat ATK;100;100;do not run triple DEF%, husk preferable at C6
31;Chongyun;Cryo Burst Support;;Noblesse Oblige;;;Emblem of Severed Fate;;;Unfinished Reverie;;;;;;;;ATK%;EM (Melt);;Cryo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Energy Recharge;ATK%;EM (Melt);;;;130;175;Noblesse to buff with burst, emblem to maximize damage output. Reverie when playing burnmelt
32;Chongyun;Cryo Main DPS;;Blizzard Strayer;;;Blizzard Strayer;Gladiator's Finale;;;;;;;;;;ATK%;;;Cryo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Elemental Mastery;;;Flat ATK;;130;175;
33;Clorinde;Electro Main DPS;Recommended Set;Fragment of Harmonic Whimsy;;In Dendro Teams;Thundering Fury;;;;;;;;;;;ATK%;Elemental Mastery;;Electro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Elemental Mastery;;;Flat ATK;;n/a;n/a;TF deals lower damage than whimsy but the shortening of the skill cooldown may help Clorinde to sync better with her team mates in a quicken/hyperbloom team. EM is good in dendro teams
34;Collei;All-purpose Dendro Sub DPS;;Deepwood Memories;;;;;;;;;;;;;;Energy Recharge;ATK%;Elemental Mastery;Dendro DMG Bonus;Elemental Mastery;CRIT Rate (Favonius);CRIT DMG;Elemental Mastery;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;Elemental Mastery;ATK%;Flat ATK;;160;200;
35;Collei;Bloom/Burn Sub DPS;;Gilded Dreams;;;;;;;;;;;;;;Energy Recharge;Elemental Mastery;;Elemental Mastery;;Elemental Mastery;;;Energy Recharge;Elemental Mastery;;;;;;160;200;This build assumes that Collei is your only dendro dps. For other dendro reactions, use deepwood.
36;Collei;Burst Support;;Noblesse Oblige;;;;;;;;;;;;;;Energy Recharge;;;Dendro DMG Bonus;;CRIT Rate (Favonius);CRIT DMG;;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;Elemental Mastery;ATK%;Flat ATK;;170;200;
37;Cyno;Electro Main DPS;;Thundering Fury;;;;;;;;;;;;;;Elemental Mastery;ATK%;Energy Recharge;Electro DMG Bonus;Elemental Mastery;CRIT Rate/DMG;Elemental Mastery;;CRIT Rate/DMG;Energy Recharge;Elemental Mastery;ATK%;;Flat ATK;;120;160;
38;Dehya;Pyro Main DPS;Recommended Set;Emblem of Severed Fate;;Alternative Set;Vourukasha's Glow;;With Furina;Marechaussee Hunter;;;;;;;;ATK%;Energy Recharge;HP% (C1);Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Energy Recharge;ATK%;HP%;EM (Vape/Melt);Flat ATK;Flat HP;180;230;HP become a relevant stat from C1 onwards, Vourokasha becomes equal or better at C4 or higher
39;Dehya;Burgeon Trigger;Recommended Set;Flower of Paradise Lost;;Alternative Set;Gilded Dreams;;;;;;;;;;;Elemental Mastery;;;Elemental Mastery;;Elemental Mastery;;;Elemental Mastery;HP%;Flat HP;;;;;100;100;Flower is technically the better set but by such a small margin that it does not justify farming it. 2pc options can be on par with great substats (wanderer can also be flower)
40;Dehya;Support;For ATK Buffs;Tenacity of the Millelith;;For DMG Buffs;Scroll of the Hero of Cinder City;;;;;;;;;;;ATK%;HP% (C1);;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;HP%;Elemental Mastery;;Flat ATK;Flat HP;100;100;
41;Dendro Traveler;Off-Field Dendro Enabler;;Deepwood Memories;;;Gilded Dreams;;;;;;;;;;;Energy Recharge;Elemental Mastery;;Dendro DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;Elemental Mastery;ATK%;;Flat ATK;;160;240;Deepwood is a valid allrounder set but if someone in your team already has it, switch traveler to Gilded Dreams
