ID;character_name;build_name;artifact_set_1_label;artifact_set_1;artifact_set_2;artifact_set_3_label;artifact_set_3;artifact_set_4;artifact_set_5_label;artifact_set_5;artifact_set_6;artifact_set_7_label;artifact_set_7;artifact_set_8;artifact_set_9_label;artifact_set_9;artifact_set_10;sands_1;sands_2;sands_3;goblet_1;goblet_2;circlet_1;circlet_2;circlet_3;substats_1;substats_2;substats_3;substats_4;substats_5;flatstats_1;flatstats_2;er_min;er_max;note
1;Albedo;Geo Sub DPS;;Husk of Opulent Dreams;;;Golden Troupe;;;;;;;;;;;DEF%;;;Geo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;DEF%;Energy Recharge;ATK%;;Flat DEF;;120;150;
2;Alhaitham;Dendro Main DPS;;Gilded Dreams;;One Per Party;Deepwood Memories;;With Furina;Marechaussee Hunter;;;;;;;;Elemental Mastery;ATK%;;Dendro DMG Bonus;;CRIT Rate/DMG;;;Elemental Mastery;CRIT Rate/DMG;ATK%;Energy Recharge;;Flat ATK;;130;200;Gilded Dreams >> Deepwood. Only put Deepwoon on him if really no one else in the party can use it. If you play quicken, aim for 200-300 EM before you go into crit. MH is also valid in Nilou Teams without Kirara
3;Aloy;Melt Sub DPS;Recommended Set;Emblem of Severed Fate;;Alternative Set;Gilded Dreams;;Alternative Sets;Blizzard Strayer;Wanderer's Troupe;Alternative Set;Lavawalker;;;;;ATK%;Elemental Mastery;Energy Recharge;Cryo DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;Elemental Mastery;;Flat ATK;;125;165;do not farm lavawalker, only use leftover pieces
4;Aloy;Freeze & Mono Cryo Main DPS;Recommended Set;Blizzard Strayer;;With Furina;Marechaussee Hunter;;;;;;;;;;;ATK%;;;Cryo DMG Bonus;;CRIT DMG;CRIT Rate;;CRIT DMG;CRIT Rate;ATK%;Energy Recharge;;Flat ATK;;100;125;
5;Aloy;Support;For ATK Buffs;Noblesse Oblige;;For EM Buffs;Instructor;;;;;;;;;;;Energy Recharge;ATK%;;Cryo DMG Bonus;;CRIT Rate (Favonius);CRIT DMG;;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;ATK%;;Flat ATK;;125;165;Do not prioritize her personal damage, only go for dmg substats once ER requirement is hit
6;Amber;Melt Main DPS;;Shimenawa's Reminiscence;;;Wanderer's Troupe;;;;;;;;;;;Elemental Mastery;ATK%;;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Elemental Mastery;ATK%;;;Flat ATK;;100;120;
7;Amber;C4 Bunny Bomber Melt DPS;;Crimson Witch of Flames;;;Gilded Dreams;;;;;;;;;;;Elemental Mastery;ATK%;;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Elemental Mastery;ATK%;;;Flat ATK;;100;120;
8;Amber;Burgeon Trigger;;Flower of Paradise Lost;;;Gilded Dreams;;;;;;;;;;;Elemental Mastery;;;Elemental Mastery;;Elemental Mastery;;;Elemental Mastery;;;;;;;100;100;
9;Amber;Support;For ATK Bufs;Noblesse Oblige;;For EM Buffs;Instructor;;;;;;;;;;;Energy Recharge;ATK%;;Pyro DMG Bonus;;CRIT Rate (Favonius);CRIT DMG;;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;ATK%;;Flat ATK;;165;240;Niche build. Best played with Elegy of the End, also C6
10;Anemo Traveler;Swirl Sub DPS;;Viridescent Venerer;;;;;;;;;;;;;;Elemental Mastery;;;Elemental Mastery;;Elemental Mastery;;;Energy Recharge;Elemental Mastery;ATK%;CRIT Rate/DMG;;Flat ATK;;160;180;
11;Anemo Traveler;Anemo Sub DPS;;Viridescent Venerer;;;;;;;;;;;;;;ATK%;;;Anemo DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;ATK%;CRIT Rate/DMG;Elemental Mastery;;Flat ATK;;160;180;
12;Arataki Itto;Geo Main DPS;;Husk of Opulent Dreams;;;;;;;;;;;;;;DEF%;;;Geo DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;DEF%;ATK%;;Flat DEF;Flat ATK;115;145;
